bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_order1,bid_order2,bid_order3,bid_order4,bid_order5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_order1,ask_order2,ask_order3,ask_order4,ask_order5,time
860.3,860.25,860.2,860.15,860.1,860.5,860.55,860.6,860.65,860.7,15,213,4,633,720,7,235,882,712,1540,1,4,3,5,5,1,2,10,7,12,1720790885.625836
860.3,860.25,860.2,860.15,860.1,860.55,860.6,860.65,860.7,860.75,9,283,4,405,667,174,837,712,1491,5715,1,4,3,4,4,2,9,7,10,7,1720790887.063482
860.3,860.25,860.2,860.15,860.1,860.55,860.6,860.65,860.7,860.75,9,283,4,633,720,174,766,712,1491,5715,1,4,3,5,5,2,8,7,10,7,1720790887.154484
860.45,860.3,860.25,860.2,860.15,860.55,860.6,860.65,860.7,860.75,6,9,283,225,636,8,642,638,908,5715,1,1,4,4,6,1,6,6,10,7,1720790888.185715
860.45,860.3,860.25,860.2,860.15,860.6,860.65,860.7,860.75,860.8,6,9,340,328,689,20,523,710,5476,2210,1,1,5,7,7,2,4,7,4,25,1720790889.155339
860.45,860.25,860.2,860.15,860.1,860.5,860.6,860.65,860.7,860.75,24,340,328,636,717,9,20,523,753,5543,2,5,7,6,4,1,2,4,8,6,1720790890.168634
860.45,860.3,860.25,860.2,860.15,860.65,860.7,860.75,860.8,860.85,17,1,311,443,636,394,640,5542,2187,893,2,1,5,7,6,5,6,6,24,11,1720790891.158468
860.25,860.2,860.15,860.1,860.05,860.55,860.6,860.65,860.7,860.75,56,3,405,717,507,375,782,1194,1430,5661,1,2,4,4,7,4,10,13,12,6,1720790892.156566
860.3,860.25,860.2,860.15,860.1,860.55,860.6,860.65,860.7,860.75,13,1,3,405,720,101,803,856,1445,5661,1,1,2,4,5,2,11,10,11,6,1720790893.269783
860.3,860.25,860.2,860.15,860.1,860.5,860.55,860.6,860.65,860.7,8,1,3,351,79,120,397,933,990,2331,1,1,2,3,2,4,5,11,12,16,1720790894.667118
860.4,860.3,860.25,860.2,860.15,860.45,860.55,860.6,860.65,860.7,1,8,1,57,471,1,93,706,796,2144,1,1,1,3,4,1,1,8,9,14,1720790895.661488
